Borough,Neighbourhood,Latitude,Longitude,Avg Crime,Employment,Population,Density,Avg Income,Transit_Commuting_Percent,Second_Language_Percent,Recreation Places Count
North York,Parkwoods,43.7532586,-79.3296565,12.27,2995.34,26533,5349,34811,14.0,0.0,2
North York,Victoria Village,43.7258823,-79.31557159999998,33.62,7520.42,17047,3612,29657,15.6,0.0,4
Downtown Toronto,Regent Park,43.6542599,-79.3606359,23.68,2064.24,10387,16230,19521,16.0,0.0,0
Scarborough,Rouge,43.8066863,-79.19435340000003,19.0,15187.28,22724,791,29230,12.1,0.0,1
Scarborough,Malvern,43.8066863,-79.19435340000003,36.48,11943.94,44324,5003,25677,13.6,0.0,1
Etobicoke,Islington,43.6509432,-79.55472440000001,67.12,48953.79,16508,4106,43570,17.1,0.0,1
Scarborough,Highland Creek,43.7845351,-79.16049709999999,21.77,1922.06,12853,2505,33640,9.7,0.0,1
North York,Flemingdon Park,43.72589970000001,-79.340923,19.1,5439.07,21287,8760,23471,16.6,0.0,0
Etobicoke,Eringate,43.6435152,-79.57720079999999,20.92,3711.57,8008,3282,34789,10.9,0.0,5
Etobicoke,Markland Wood,43.6435152,-79.57720079999999,75.9,1597.09,10240,3507,51695,9.2,0.0,5
Scarborough,Guildwood,43.7635726,-79.1887115,52.37,987.76,12820,2688,40806,11.6,0.0,2
Scarborough,Morningside,43.7635726,-79.1887115,14.76,3812.05,11472,4112,27139,14.9,0.0,2
Scarborough,Hill,43.7635726,-79.1887115,21.02,4810.5,6218,4935,120453,16.1,0.0,2
East Toronto,Beaches,43.67635739999999,-79.2930312,108.77,6086.89,20416,5719,67536,13.8,0.0,0
Scarborough,Woburn,43.7709921,-79.21691740000001,11.33,17307.11,48507,3636,26190,13.3,0.0,2
East York,Leaside,43.7090604,-79.3634517,32.43,3101.17,13876,4938,82670,9.7,0.0,10
North York,Bathurst Manor,43.7543283,-79.4422593,99.13,3602.53,14945,3187,34169,13.4,0.0,12
North York,Downsview,43.7543283,-79.4422593,24.72,21540.35,36613,2270,26751,14.4,11.7,12
East York,Thorncliffe Park,43.7053689,-79.34937190000002,53.38,10526.44,17949,5809,25340,16.7,0.0,8
Scarborough,Scarborough Village,43.7447342,-79.23947609999998,105.15,1978.72,12796,6303,24413,16.2,0.0,0
North York,Henry Farm,43.7785175,-79.3465557,23.07,20020.23,2790,3066,56395,15.6,0.0,33
West Toronto,Little Portugal,43.647926700000006,-79.4197497,41.38,2776.19,5013,10231,29224,16.6,0.0,0
West Toronto,Trinity,43.647926700000006,-79.4197497,29.08,5751.22,8687,9442,31106,17.7,0.0,0
Scarborough,Ionview,43.7279292,-79.26202940000002,144.6,1072.21,13025,6714,25078,21.1,0.0,1
North York,Bayview Village,43.7869473,-79.385975,27.37,10024.01,12280,2966,46752,14.4,0.0,2
East Toronto,Danforth,43.6795571,-79.352188,6.81,3971.34,21440,8576,33847,24.2,0.0,0
East Toronto,Riverdale,43.6795571,-79.352188,15.98,4311.28,31007,7771,40139,20.0,0.0,0
Scarborough,Clairlea,43.7111117,-79.2845772,40.9,16452.98,11104,3102,33392,18.1,0.0,3
Scarborough,Oakridge,43.7111117,-79.2845772,43.27,1889.99,13368,7187,21155,20.8,0.0,3
North York,Humber Summit,43.7563033,-79.56596329999998,11.15,19188.55,12766,1618,26117,7.3,15.1,1
Scarborough,Cliffcrest,43.716316,-79.23947609999998,189.3,2279.11,14531,2073,38182,12.5,0.0,0
North York,Newtonbrook,43.789053,-79.40849279999998,56.37,9718.28,36046,4110,33428,16.6,0.0,0
North York,Willowdale,43.789053,-79.40849279999998,23.4,7600.59,43144,5618,39895,15.6,0.0,0
North York,Bedford Park,43.7332825,-79.4197497,19.42,8751.9,13749,6057,80827,15.2,0.0,0
York,Mount Dennis,43.6911158,-79.47601329999998,34.03,2349.66,21284,6469,23910,18.2,0.0,2
Central Toronto,Lawrence Park,43.7280205,-79.3887901,40.9,1746.75,6653,1828,214110,8.3,0.0,1
York,Runnymede,43.67318529999999,-79.48726190000002,17.13,2588.05,4382,5155,42635,17.3,0.0,2
York,on,43.706876,-79.51818840000001,47.73,1297.77,16476,6564,27446,15.5,0.0,1
Scarborough,Dorset Park,43.7574096,-79.27330400000002,28.07,13599.82,14189,3331,26525,15.2,0.0,0
Central Toronto,Forest Hill,43.6969476,-79.41130720000002,23.13,2079.2,24056,5530,101631,14.8,0.0,2
West Toronto,High Park,43.6616083,-79.46476329999999,44.3,7048.99,22746,10434,46437,27.5,0.0,0
Scarborough,Wexford,43.7500715,-79.2958491,25.08,17870.47,17844,2239,28556,14.0,0.0,2
Central Toronto,Annex,43.6727097,-79.40567840000001,26.6,27493.61,15602,10614,63636,22.1,0.0,11
West Toronto,Parkdale,43.6489597,-79.456325,28.2,8142.57,28367,13974,26314,22.2,0.0,0
West Toronto,Roncesvalles,43.6489597,-79.456325,42.83,3084.06,15996,8079,46820,21.9,0.0,0
Etobicoke,Kingsview Village,43.6889054,-79.55472440000001,32.0,2992.13,16254,4013,32004,11.8,0.0,2
Scarborough,Agincourt,43.7942003,-79.26202940000002,78.5,19593.7,44577,3580,25750,11.1,0.0,1
Scarborough,Tam O'Shanter,43.7816375,-79.3043021,20.57,4149.86,27235,5006,27717,12.2,0.0,0
Scarborough,L'Amoreaux,43.8152522,-79.2845772,28.65,5060.65,45862,6414,26375,13.4,0.0,2
Scarborough,Milliken,43.8152522,-79.2845772,62.23,18067.17,26272,3654,25243,12.3,0.0,2
Scarborough,Steeles,43.8152522,-79.2845772,28.56,6237.62,24696,5464,26660,10.5,0.0,2
Downtown Toronto,Niagara,43.6289467,-79.3944199,75.52,16698.85,6524,11862,44611,21.2,0.0,3
Etobicoke,Mimico,43.6056466,-79.50132070000002,14.22,12345.88,14198,2629,47011,11.6,0.0,6
Etobicoke,New Toronto,43.6056466,-79.50132070000002,10.42,5653.94,10455,3858,33415,13.0,0.0,6
Etobicoke,Thistletown,43.7394164,-79.5884369,15.58,1401.46,16790,4229,28955,11.2,0.0,6
Downtown Toronto,Rosedale,43.6795626,-79.37752940000001,23.8,20482.04,7672,2821,213941,11.3,0.0,2
Etobicoke,Alderwood,43.60241370000001,-79.54348409999999,37.47,5172.89,11656,2360,35239,8.8,0.0,7
Etobicoke,Long Branch,43.60241370000001,-79.54348409999999,27.63,1221.87,9625,4336,37288,14.2,0.0,7
Downtown Toronto,Cabbagetown,43.667967,-79.3676753,17.18,2686.4,11120,7943,50398,18.5,0.0,0
Etobicoke,Kingsway,43.65365360000001,-79.5069436,14.23,2496.11,8780,3403,110944,11.8,0.0,2
