Neighbourhood,Population,Density,Avg Income,Transit_Commuting_Percent,Second_Language_Percent
Agincourt,44577,3580,25750,11.1,0.0
Alderwood,11656,2360,35239,8.8,0.0
Alexandra Park,4355,13609,19687,13.8,0.0
Allenby,2513,4333,245592,5.2,0.0
Amesbury,17318,4934,27546,16.4,0.0
Armour Heights,4384,1914,116651,10.8,0.0
Banbury,6641,2442,92319,6.1,0.0
Bathurst Manor,14945,3187,34169,13.4,0.0
Bay Street Corridor,4787,43518,40598,17.1,0.0
Bayview Village,12280,2966,46752,14.4,0.0
Bayview Woods,13298,3267,41485,11.2,0.0
Bedford Park,13749,6057,80827,15.2,0.0
Bendale,28945,3409,29723,13.0,0.0
Birch Cliff,12266,3525,48965,11.4,0.0
Bloor  Village,5175,6993,55578,20.7,0.0
Bracondale Hill,5343,8618,41605,18.2,0.0
Branson,8017,6414,27156,18.0,0.0
Bridle Path,1540,445,314107,7.1,0.0
Brockton,9039,8217,27260,22.3,0.0
Cabbagetown,11120,7943,50398,18.5,0.0
Caribou Park,4097,4017,103703,8.4,0.0
Carleton Village,6544,8843,23301,19.0,0.0
Casa Loma,3597,5369,82203,18.1,0.0
Centennial,12565,2544,34867,11.5,0.0
Chaplin Estates,4906,5275,81288,22.7,0.0
Christie Pits,5124,8006,30556,18.8,0.0
Church and Wellesley,13397,24358,37653,25.1,0.0
Clairville,8506,1268,26610,13.2,0.0
Clairlea,11104,3102,33392,18.1,0.0
Cliffcrest,14531,2073,38182,12.5,0.0
Cliffside,9386,3831,32701,14.8,0.0
Corktown,4484,6693,54681,15.5,0.0
Crescent Town,8157,20393,23021,24.5,0.0
Cricket Club,5504,2808,104362,8.7,0.0
Davenport,8781,8870,28335,19.8,0.0
Davisville,23727,7556,55735,26.0,0.0
Deer Park,15165,10387,80704,26.4,0.0
Discovery District,7262,6998,41998,12.7,0.0
Distillery District,6378,4795,40617,19.5,0.0
Don Mills,21372,2377,47515,10.8,0.0
Don Valley Village,29740,5764,30442,17.1,0.0
Dorset Park,14189,3331,26525,15.2,0.0
Dovercourt Park,8497,9767,28311,21.9,0.0
Downsview,36613,2270,26751,14.4,11.7
Dufferin Grove,9875,9975,27961,23.8,0.0
Earlscourt,17240,7696,26672,17.7,0.0
Danforth,21440,8576,33847,24.2,0.0
Eatonville,19131,1699,36206,12.6,0.0
Eglinton,22387,6931,25307,19.4,0.0
Elia,48003,6267,22691,13.0,0.0
Eringate,8008,3282,34789,10.9,0.0
Fairbank,34121,7720,28403,21.6,0.0
Fashion District,4642,4737,63282,15.5,0.0
Financial District,548,1166,63952,18.2,0.0
Flemingdon Park,21287,8760,23471,16.6,0.0
Forest Hill,24056,5530,101631,14.8,0.0
Fort York,3821,1794,46086,22.8,0.0
Garden District,8240,15846,37614,17.0,0.0
Glen Park,18426,4462,35022,13.6,9.3
Governor's Bridge,2112,1129,129904,7.1,0.0
Grange Park,9007,10793,35277,13.3,0.0
Graydon Hall,4714,6639,23350,15.6,0.0
Guildwood,12820,2688,40806,11.6,0.0
Harbord Village,5906,9228,45792,16.8,0.0
Harbourfront,14368,9228,69232,16.0,0.0
Harwood,3375,4327,22136,12.3,0.0
Henry Farm,2790,3066,56395,15.6,0.0
High Park,22746,10434,46437,27.5,0.0
Highland Creek,12853,2505,33640,9.7,0.0
Hillcrest,18327,3426,33465,12.0,0.0
Hoggs Hollow,3123,1132,222560,4.3,0.0
Humber Bay Shores,10775,7588,39186,15.7,0.0
Humber Heights,4674,2766,39738,10.1,0.0
Humber Summit,12766,1618,26117,7.3,15.1
Humber Valley Village,14453,2652,80618,12.0,0.0
Humberlea,4327,2164,30907,8.7,11.1
Humbermede,14778,3397,24297,11.8,0.0
Humberwood,7319,421,29576,7.9,0.0
Humewood,27515,8624,40404,24.2,0.0
Ionview,13025,6714,25078,21.1,0.0
Islington,16508,4106,43570,17.1,0.0
Junction Triangle,6666,9258,28067,20.0,0.0
Kensington Market,3740,10389,23335,15.0,0.0
Kingsview Village,16254,4013,32004,11.8,0.0
Lambton,9654,3523,30920,14.2,0.0
L'Amoreaux,45862,6414,26375,13.4,0.0
Lansing,10052,3285,46631,18.7,0.0
Lawrence Heights,3769,1178,29867,15.0,15.0
Lawrence Manor,13750,6425,36361,15.9,0.0
Lawrence Park,6653,1828,214110,8.3,0.0
Leaside,13876,4938,82670,9.7,0.0
Ledbury Park,12360,4944,83853,9.5,0.0
Leslieville,23567,8761,30886,19.9,0.0
Little Italy,7917,9774,31231,15.5,0.0
Little Portugal,5013,10231,29224,16.6,0.0
Long Branch,9625,4336,37288,14.2,0.0
Lytton Park,6494,5073,127356,15.1,0.0
Malvern,44324,5003,25677,13.6,0.0
Maple Leaf,20313,4425,27611,11.8,13.0
Markland Wood,10240,3507,51695,9.2,0.0
Maryvale,8800,3860,30944,12.3,0.0
Milliken,26272,3654,25243,12.3,0.0
Mimico,14198,2629,47011,11.6,0.0
Moore Park,4474,3959,154825,11.0,0.0
Morningside,11472,4112,27139,14.9,0.0
Mount Dennis,21284,6469,23910,18.2,0.0
New Toronto,10455,3858,33415,13.0,0.0
Newtonbrook,36046,4110,33428,16.6,0.0
Niagara,6524,11862,44611,21.2,0.0
York City Centre,10427,37239,34330,19.0,0.0
Oakridge,13368,7187,21155,20.8,0.0
O'Connor,17740,3591,33517,15.8,0.0
Old  York,52220,6577,33172,22.0,0.0
Old Mill,4010,3748,110372,16.1,0.0
Parkdale,28367,13974,26314,22.2,0.0
Parkway Forest,8498,4970,24333,21.7,0.0
Parkwoods,26533,5349,34811,14.0,0.0
Pelmo Park,4402,2001,32002,9.4,6.7
Playter Estates,3968,7936,44557,26.8,0.0
Pleasant View,16615,5465,29250,13.2,0.0
Port Lands,571,94,36243,14.9,0.0
Port Union,12450,2310,48117,11.1,0.0
Princess Gardens,9288,2249,80607,7.2,0.0
Regal Heights,2719,7155,36652,24.5,0.0
Regent Park,10387,16230,19521,16.0,0.0
Richview,26053,4002,34579,10.6,4.2
Riverdale,31007,7771,40139,20.0,0.0
Rockcliffe,4681,4826,28723,16.3,0.0
Roncesvalles,15996,8079,46820,21.9,0.0
Rosedale,7672,2821,213941,11.3,0.0
Rouge,22724,791,29230,12.1,0.0
Rouge Hill,11167,2878,32858,13.5,0.0
Runnymede,4382,5155,42635,17.3,0.0
Scarborough Junction,25780,3479,25405,18.2,0.0
Scarborough City Centre,16403,6358,26756,14.6,0.0
Scarborough Village,12796,6303,24413,16.2,0.0
Seaton Village,5259,8482,41506,19.1,0.0
Silverthorn,17757,5045,26291,15.8,0.0
Smithfield,34996,5426,24387,12.8,0.0
Hill,6218,4935,120453,16.1,0.0
St. James Town,14666,63765,22341,27.4,0.0
Steeles,24696,5464,26660,10.5,0.0
Summerhill,5100,7846,88937,17.5,0.0
Sunnylea,17602,3366,51398,13.0,0.0
Swansea,11133,2961,58681,18.3,0.0
Tam O'Shanter,27235,5006,27717,12.2,0.0
Annex,15602,10614,63636,22.1,0.0
Beaches,20416,5719,67536,13.8,0.0
Danforth,7849,9022,44979,23.3,0.0
Elms,9437,3300,28014,12.6,0.0
Junction,11391,4827,34906,18.0,0.0
Kingsway,8780,3403,110944,11.8,0.0
Queensway,6207,2369,38944,12.9,4.1
Thistletown,16790,4229,28955,11.2,0.0
Thorncliffe Park,17949,5809,25340,16.7,0.0
Toronto Islands,627,198,43344,18.3,0.0
Trinity,8687,9442,31106,17.7,0.0
Upper Beaches,19830,6791,44346,18.6,0.0
Victoria Village,17047,3612,29657,15.6,0.0
Wallace Emerson,10338,11748,25029,22.8,0.0
Deane Park,4395,2063,41582,8.3,0.0
Hill,25632,2676,27936,14.6,0.0
Rouge,9300,2090,44605,14.1,0.0
minster,16386,6914,27826,14.6,0.0
mount,5857,5932,35183,9.6,0.0
on,16476,6564,27446,15.5,0.0
Wexford,17844,2239,28556,14.0,0.0
Willowdale,43144,5618,39895,15.6,0.0
Wilson Heights,13732,3317,37978,15.9,0.0
Woburn,48507,3636,26190,13.3,0.0
Wychwood,4182,6150,53613,17.1,0.0
York Mills,17564,2409,92099,10.0,0.0
York University Heights,26140,1979,24432,15.2,6.6
Yorkville,6045,10795,105239,18.3,0.0
