Neighbourhood,Recreation Places Count
Parkwoods,2
Victoria Village,4
Harbourfront,0
Regent Park,0
Lawrence Heights,7
Lawrence Manor,7
Queen's Park,0
Islington Avenue,0
Rouge,1
Malvern,1
Don Mills,2
Woodbine Gardens,7
Parkview Hill,7
Ryerson,0
Garden District,0
Glencairn,0
Cloverdale,1
Islington,1
Martin Grove,1
Princess Gardens,1
Deane Park,1
Highland Creek,1
Rouge Hill,1
Port Union,1
Flemingdon Park,0
Don Mills,0
Woodbine Heights,4
St. James Town,0
Humewood-Cedarvale,2
Bloordale Gardens,5
Eringate,5
Markland Wood,5
Old Burnhamthorpe,5
Guildwood,2
Morningside,2
Hill,2
Beaches,0
Berczy Park,0
Caledonia-Fairbanks,4
Woburn,2
Leaside,10
Central Bay Street,0
Christie,0
Cedarbrae,3
Hillcrest Village,1
Bathurst Manor,12
Downsview,12
Wilson Heights,12
Thorncliffe Park,8
Adelaide,0
King,0
Richmond,0
Dovercourt Village,9
Dufferin,9
Scarborough Village,0
Fairview,33
Henry Farm,33
Oriole,33
wood Park,3
York University,3
Toronto,4
Harbourfront,0
Toronto Islands,0
Union Station,0
Little Portugal,0
Trinity,0
Birchmount Park,1
Ionview,1
Kennedy Park,1
Bayview Village,2
CFB Toronto,1
Downsview,1
Danforth,0
Riverdale,0
Design Exchange,0
Toronto Dominion Centre,0
Brockton,0
Exhibition Place,0
Parkdale Village,0
Clairlea,3
Golden Mile,3
Oakridge,3
Silver Hills,0
York Mills,0
Downsview,2
Beaches,0
India Bazaar,0
Commerce Court,0
Victoria Hotel,0
Downsview,1
Park,1
Upwood Park,1
Humber Summit,1
Cliffcrest,0
Cliffside,0
Scarborough Village,0
Newtonbrook,0
Willowdale,0
Downsview Central,0
Studio District,0
Bedford Park,0
Lawrence Manor,0
Del Ray,2
Keelesdale,2
Mount Dennis,2
Silverthorn,2
Emery,0
Humberlea,0
Birch Cliff,0
Cliffside,0
Willowdale,12
Downsview west,0
Lawrence Park,1
Roselawn,0
Junction,2
Runnymede,2
on,1
Dorset Park,0
Scarborough Town Centre,0
Wexford Heights,0
York Mills,3
Davisville,3
Forest Hill,2
Forest Hill,2
High Park,0
Junction,0
mount,6
Maryvale,2
Wexford,2
Willowdale,3
Toronto,6
Annex,11
Midtown,11
Yorkville,11
Parkdale,0
Roncesvalles,0
Canada Post Gateway Processing Centre,5
Kingsview Village,2
Martin Grove Gardens,2
Richview Gardens,2
St. Phillips,2
Agincourt,1
Davisville,0
Harbord,0
University of Toronto,0
Runnymede,0
Swansea,0
Clarks Corners,0
Sullivan,0
Tam O'Shanter,0
Moore Park,1
Summerhill,1
Chinatown,0
Grange Park,0
Kensington Market,0
Agincourt,2
L'Amoreaux,2
Milliken,2
Steeles,2
Deer Park,7
Forest Hill SE,7
Rathnelly,7
Hill,7
Summerhill,7
CN Tower,3
Bathurst Quay,3
Island airport,3
Harbourfront,3
King and Spadina,3
Railway Lands,3
Niagara,3
Humber Bay Shores,6
Mimico,6
New Toronto,6
Albion Gardens,6
Beaumond Heights,6
Humbergate,6
Jamestown,6
Mount Olive,6
Silverstone,6
Steeles,6
Thistletown,6
L'Amoreaux,6
Rosedale,2
Stn A PO Boxes 25  Esplanade,0
Alderwood,7
Long Branch,7
west,1
Upper Rouge,0
Cabbagetown,0
St. James Town,0
First Canadian Place,0
Underground city,0
Kingsway,2
Montgomery Road,2
Old Mill,2
Church and Wellesley,0
Business Reply Mail Processing Centre 969 ern,4
Humber Bay,1
King's Mill Park,1
Kingsway Park,1
Mimico NE,1
Old Mill,1
Queensway,1
Royal York,1
Sunnylea,1
Kingsway Park,3
Mimico NW,3
Queensway,3
Royal York,3
of Bloor,3
